2021-04-29 19:31:26,475 [Worker-23: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2021-04-29 19:31:26,477 [Worker-23: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2021-04-29 19:31:26,477 [Worker-23: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2021-04-29 19:35:40,057 [Worker-29: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2021-04-29 19:35:40,058 [Worker-29: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2021-04-29 19:35:40,060 [Worker-29: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2021-04-29 19:35:40,062 [Worker-29: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 4 resources
2021-04-29 19:37:25,589 [Worker-30: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2021-04-29 19:37:25,589 [Worker-30: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2021-04-29 19:37:25,590 [Worker-30: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2021-04-29 19:37:25,591 [Worker-30: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 4 resources
2021-04-29 19:37:26,647 [Worker-31: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2021-04-29 19:37:26,648 [Worker-31: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2021-04-29 19:37:26,649 [Worker-31: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2021-04-29 19:37:26,649 [Worker-31: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2021-04-29 19:37:35,036 [Worker-30: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2021-04-29 19:37:35,037 [Worker-30: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2021-04-29 19:37:35,037 [Worker-30: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2021-04-29 19:37:35,038 [Worker-30: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 4 resources
2021-04-29 19:40:42,497 [Worker-32: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2021-04-29 19:40:42,497 [Worker-32: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2021-04-29 19:40:42,499 [Worker-32: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2021-04-29 19:40:42,499 [Worker-32: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 4 resources
2021-04-29 19:41:07,644 [Worker-33: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2021-04-29 19:41:07,644 [Worker-33: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2021-04-29 19:41:07,646 [Worker-33: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2021-04-29 19:41:07,647 [Worker-33: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 4 resources
2021-04-29 19:41:40,278 [Worker-34: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2021-04-29 19:41:40,278 [Worker-34: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2021-04-29 19:41:40,281 [Worker-34: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2021-04-29 19:41:40,282 [Worker-34: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 4 resources
2021-04-29 19:42:41,685 [Worker-34: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2021-04-29 19:42:41,685 [Worker-34: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2021-04-29 19:42:41,688 [Worker-34: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2021-04-29 19:42:41,688 [Worker-34: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 4 resources
2021-04-29 19:44:02,029 [Worker-33: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2021-04-29 19:44:02,029 [Worker-33: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2021-04-29 19:44:02,033 [Worker-33: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2021-04-29 19:44:02,034 [Worker-33: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 4 resources
2021-04-29 19:44:12,485 [Worker-32: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2021-04-29 19:44:12,485 [Worker-32: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2021-04-29 19:44:12,487 [Worker-32: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2021-04-29 19:44:12,487 [Worker-32: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 4 resources
2021-04-29 19:44:35,907 [Worker-36: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2021-04-29 19:44:35,908 [Worker-36: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2021-04-29 19:44:35,909 [Worker-36: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2021-04-29 19:44:35,910 [Worker-36: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 4 resources
2021-04-29 23:37:56,817 [Worker-74: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2021-04-29 23:37:56,817 [Worker-74: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2021-04-29 23:37:56,817 [Worker-74: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2021-04-29 23:37:56,817 [Worker-74: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 4 resources
2021-04-29 23:41:37,581 [Worker-72: Launching Executing clean in F__MultiThreadedCucumberJunitFramework_multithread] INFO  o.e.m.i.launch.MavenLaunchDelegate - F:\MultiThreadedCucumberJunitFramework\multithread
2021-04-29 23:41:37,581 [Worker-72: Launching Executing clean in F__MultiThreadedCucumberJunitFramework_multithread] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn -B clean
2021-04-29 23:41:41,655 [Worker-79: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2021-04-29 23:41:41,656 [Worker-79: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2021-04-29 23:41:41,657 [Worker-79: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2021-04-29 23:41:41,657 [Worker-79: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 4 resources
2021-04-29 23:41:46,069 [Worker-73: Launching Executing install in F__MultiThreadedCucumberJunitFramework_multithread] INFO  o.e.m.i.launch.MavenLaunchDelegate - F:\MultiThreadedCucumberJunitFramework\multithread
2021-04-29 23:41:46,069 [Worker-73: Launching Executing install in F__MultiThreadedCucumberJunitFramework_multithread] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn -B install
2021-04-29 23:43:00,400 [Worker-68: Building workspace] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.cucumberjunitparallel:multithread:0.0.1-SNAPSHOT @ F:\MultiThreadedCucumberJunitFramework\multithread\pom.xml.
2021-04-29 23:43:01,907 [Worker-68: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2021-04-29 23:43:01,908 [Worker-68: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2021-04-29 23:43:01,911 [Worker-68: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2021-04-29 23:43:01,911 [Worker-68: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2021-04-29 23:43:06,931 [Worker-72: Launching Executing clean in F__MultiThreadedCucumberJunitFramework_multithread] INFO  o.e.m.i.launch.MavenLaunchDelegate - F:\MultiThreadedCucumberJunitFramework\multithread
2021-04-29 23:43:06,931 [Worker-72: Launching Executing clean in F__MultiThreadedCucumberJunitFramework_multithread] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn -B clean
2021-04-29 23:43:10,155 [Worker-68: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2021-04-29 23:43:10,155 [Worker-68: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2021-04-29 23:43:10,155 [Worker-68: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2021-04-29 23:43:10,156 [Worker-68: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 4 resources
2021-04-29 23:43:14,950 [Worker-73: Launching Executing install in F__MultiThreadedCucumberJunitFramework_multithread] INFO  o.e.m.i.launch.MavenLaunchDelegate - F:\MultiThreadedCucumberJunitFramework\multithread
2021-04-29 23:43:14,951 [Worker-73: Launching Executing install in F__MultiThreadedCucumberJunitFramework_multithread] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn -B install
2021-04-29 23:43:54,379 [Worker-73: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2021-04-29 23:43:54,379 [Worker-73: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2021-04-29 23:43:54,380 [Worker-73: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2021-04-29 23:43:54,382 [Worker-73: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 4 resources
2021-04-30 12:38:49,305 [Worker-4: Loading available Gradle versions] INFO  o.e.b.c.i.u.g.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2021-04-30 12:43:35,724 [Worker-17: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2021-04-30 12:43:35,743 [Worker-17: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2021-04-30 12:43:35,745 [Worker-17: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2021-04-30 12:43:35,746 [Worker-17: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 4 resources
2021-04-30 12:43:43,514 [Worker-16: Launching Executing clean in F__MultiThreadedCucumberJunitFramework_multithread] INFO  o.e.m.i.launch.MavenLaunchDelegate - F:\MultiThreadedCucumberJunitFramework\multithread
2021-04-30 12:43:43,516 [Worker-16: Launching Executing clean in F__MultiThreadedCucumberJunitFramework_multithread] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn -B clean
2021-04-30 12:43:49,121 [Worker-16: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2021-04-30 12:43:49,140 [Worker-16: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2021-04-30 12:43:49,143 [Worker-16: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2021-04-30 12:43:49,145 [Worker-16: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 4 resources
2021-04-30 12:43:56,590 [Worker-18: Launching Executing install in F__MultiThreadedCucumberJunitFramework_multithread] INFO  o.e.m.i.launch.MavenLaunchDelegate - F:\MultiThreadedCucumberJunitFramework\multithread
2021-04-30 12:43:56,591 [Worker-18: Launching Executing install in F__MultiThreadedCucumberJunitFramework_multithread] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn -B install
2021-04-30 12:44:22,255 [Worker-5: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2021-04-30 12:44:22,256 [Worker-5: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2021-04-30 12:44:22,258 [Worker-5: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2021-04-30 12:44:22,260 [Worker-5: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 4 resources
2021-04-30 12:45:05,374 [Worker-18: Launching Executing clean in F__MultiThreadedCucumberJunitFramework_multithread] INFO  o.e.m.i.launch.MavenLaunchDelegate - F:\MultiThreadedCucumberJunitFramework\multithread
2021-04-30 12:45:05,374 [Worker-18: Launching Executing clean in F__MultiThreadedCucumberJunitFramework_multithread] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn -B clean
2021-04-30 12:45:08,376 [Worker-18: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2021-04-30 12:45:08,377 [Worker-18: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2021-04-30 12:45:08,378 [Worker-18: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
